title,displaytitle,link,id,summary,g:image_link,g:price,g:condition,g:brand,g:availability,g:adwords_redirect,g:mpn,g:Ranking,g:StyleDescription,g:sale_price,g:AverageRating,g:size,g:product_type,g:shipping.g:service,g:shipping.g:price,c:keywords.@xmlns:c,c:keywords.#text,g:google_product_category.@xmlns:g,g:google_product_category.#text,c:EDP.@xmlns:c,c:EDP.#text,g:color.@xmlns:g,g:color.#text,g:base_color.@xmlns:g,g:base_color.#text,g:NumReviews.@xmlns:g,g:NumReviews.#text,g:Recommend.@xmlns:g,g:Recommend.#text,g:age_group.@xmlns:g,g:age_group.#text,g:gender.@xmlns:g,g:gender.#text
Soft Leather Hobo Bag,Soft Leather Hobo Bag,https://www.northstyle.com/itemdy00.aspx?T1=NA882+BK&srccode=NXCNC6&utm_source=google&utm_medium=shopping&utm_campaign=datafeed&source=pla,NA882 BK,"Rich Leather Hobo  This luxurious bag makes a fashion statement in deep red or black leather that's supremely soft and supple  Top flap closure with modern, silvertone lock  Roomy interior is fully lined, with a zip security pocket and side pockets for cell phone and small essentials  Outside back zip pocket  18  x 10","https://lppool.catalogsites.net/lf?set=type[1],brand[NS],size[500],productid[NA882GH]&call=url[file:potpourri/hires2.chain]&sink",139.00 USD,New,Northstyle,In Stock,https://www.northstyle.com/itemdy00.aspx?T1=NA882+BK&srccode=NXCNC6&utm_source=google&utm_medium=comparison&utm_campaign=datafeed&source=pla,NA882483175,8888888,,,4.5,,All Accessories|All Best Sellers|All Gifts|All Shoes & Accessories|Bags & Belts|Best Sellers|Fourth of July Savings|Gifts|Shoes & Accessories|Special Offer|View All Items|,Ground,19.99 USD,http://base.google.com/cns/1.0,"access bag fashion,NS04,AP16,AP16",http://base.google.com/ns/1.0,Fourth of July Savings,http://base.google.com/cns/1.0,483175,http://base.google.com/ns/1.0,Black,http://base.google.com/ns/1.0,BLACK,http://base.google.com/ns/1.0,6,http://base.google.com/ns/1.0,TRUE,http://base.google.com/ns/1.0,Adult,http://base.google.com/ns/1.0,Unisex
Comfort Bra Set of 3,Comfort Bra Set of 3,https://www.northstyle.com/itemdy00.aspx?T1=ND201+XXL&srccode=NXCNC6&utm_source=google&utm_medium=shopping&utm_campaign=datafeed&source=pla,ND201 XXL,"Comfortable, seamless pull on design with removable cups that lift and shape  Wide straps stretch for a perfect fit  Polyamide/elastane  Hand wash  Imported","https://lppool.catalogsites.net/lf?set=type[1],brand[NS],size[500],productid[ND201H]&call=url[file:potpourri/hires2.chain]&sink",27.95 USD,New,Northstyle,In Stock,https://www.northstyle.com/itemdy00.aspx?T1=ND201+XXL&srccode=NXCNC6&utm_source=google&utm_medium=comparison&utm_campaign=datafeed&source=pla,ND201526434,8888888,,,3.5,XX Large,All Best Sellers|All Sleepwear|All Women&#39;s Plus|Best Sellers|Foundations|Fourth of July Savings|Sleepwear|Special Offer|View All Items|View All|Women&#39;s Sleepwear|Women&#39;s|,Ground,11.99 USD,http://base.google.com/cns/1.0,"WWQA254,NS04,found,AP16,MG15,UNDERWEAR,STAYHOME,HD18,MGGIFTU25,MGGIFTHER,FVQA252,HCQA252,MGQA252,WWQA252,WWQA253,HCQA253,FVQA253,FV09,weekend women plus,WB undergarment,SG07,WW14,intimates intimate,MGQA253,FVQA254",http://base.google.com/ns/1.0,Best Sellers,http://base.google.com/cns/1.0,526434,http://base.google.com/ns/1.0,NONE,http://base.google.com/ns/1.0,,http://base.google.com/ns/1.0,228,http://base.google.com/ns/1.0,TRUE,http://base.google.com/ns/1.0,Adult,http://base.google.com/ns/1.0,Unisex
"Stretch Denim Capri, Wide Waistband, Back Pockets, Slit Hems Size 10 White","Stretch Denim Capri, Wide Waistband, Back Pockets, Slit Hems",https://www.northstyle.com/itemdy00.aspx?T1=NF929+WT+10&srccode=NXCNC6&utm_source=google&utm_medium=shopping&utm_campaign=datafeed&source=pla,NF929 WT 10,"Wide comfort stretch waistband, and faux pockets and fly for a smooth look under tops  Back patch pockets and side slit hems  Ramie/cotton/polyester/ spandex  Machine wash  Imported  21  inseam","https://lppool.catalogsites.net/lf?set=type[1],brand[NS],size[500],productid[NF929GH]&call=url[file:potpourri/hires2.chain]&sink",49.95 USD,New,Northstyle,In Stock,https://www.northstyle.com/itemdy00.aspx?T1=NF929+WT+10&srccode=NXCNC6&utm_source=google&utm_medium=comparison&utm_campaign=datafeed&source=pla,NF929738040,8888888,,,4.5,10,All Best Sellers|All Bottoms|All Collections|All Misses Sizes|All Pants|Beautiful Blues|Best Sellers|Bottoms|Capris & Shorts|Casual Comfort|Collections|Denim Pants|For the Love of Denim|Fourth of July Savings|Misses Bottoms|Misses|National Wear Blue Day|Special Offer|View All Items|View All|,Ground,11.99 USD,http://base.google.com/cns/1.0,"N246COZY,NLOVDENIM,misses pant,Capri,NS04,denim,AP16,FV09,stayhome,N222DENIM,NS227DD,NSTHEME06102024,NSQA253,NSQA252,NSQA254,NTHEME06132025,FTHEME06132025",http://base.google.com/ns/1.0,All Pants,http://base.google.com/cns/1.0,738040,http://base.google.com/ns/1.0,White,http://base.google.com/ns/1.0,WHITE/IVORY,http://base.google.com/ns/1.0,70,http://base.google.com/ns/1.0,TRUE,http://base.google.com/ns/1.0,Adult,http://base.google.com/ns/1.0,Unisex
"Stretch Denim Capri, Wide Waistband, Back Pockets, Slit Hems Size 12 White","Stretch Denim Capri, Wide Waistband, Back Pockets, Slit Hems",https://www.northstyle.com/itemdy00.aspx?T1=NF929+WT+12&srccode=NXCNC6&utm_source=google&utm_medium=shopping&utm_campaign=datafeed&source=pla,NF929 WT 12,"Wide comfort stretch waistband, and faux pockets and fly for a smooth look under tops  Back patch pockets and side slit hems  Ramie/cotton/polyester/ spandex  Machine wash  Imported  21  inseam","https://lppool.catalogsites.net/lf?set=type[1],brand[NS],size[500],productid[NF929GH]&call=url[file:potpourri/hires2.chain]&sink",49.95 USD,New,Northstyle,In Stock,https://www.northstyle.com/itemdy00.aspx?T1=NF929+WT+12&srccode=NXCNC6&utm_source=google&utm_medium=comparison&utm_campaign=datafeed&source=pla,NF929738041,8888888,,,4.5,12,All Best Sellers|All Bottoms|All Collections|All Misses Sizes|All Pants|Beautiful Blues|Best Sellers|Bottoms|Capris & Shorts|Casual Comfort|Collections|Denim Pants|For the Love of Denim|Fourth of July Savings|Misses Bottoms|Misses|National Wear Blue Day|Special Offer|View All Items|View All|,Ground,11.99 USD,http://base.google.com/cns/1.0,"N246COZY,NLOVDENIM,misses pant,Capri,NS04,denim,AP16,FV09,stayhome,N222DENIM,NS227DD,NSTHEME06102024,NSQA253,NSQA252,NSQA254,NTHEME06132025,FTHEME06132025",http://base.google.com/ns/1.0,All Pants,http://base.google.com/cns/1.0,738041,http://base.google.com/ns/1.0,White,http://base.google.com/ns/1.0,WHITE/IVORY,http://base.google.com/ns/1.0,70,http://base.google.com/ns/1.0,TRUE,http://base.google.com/ns/1.0,Adult,http://base.google.com/ns/1.0,Unisex
"Spring Step&#174; Artisan Floral Embossed Leather Clogs, 3&quot; Wedge Size 39 Black","Spring Step&#174; Artisan Floral Embossed Leather Clogs, 3&quot; Wedge",https://www.northstyle.com/itemdy00.aspx?T1=NE552+BK+39&srccode=NXCNC6&utm_source=google&utm_medium=shopping&utm_campaign=datafeed&source=pla,NE552 BK 39,"Floral embossing on the leather uppers and 3  wedge heels  Cushioned footbeds; nonskid sole  Imported   
Women,s European Whole Sizes (U S  equivalents)   36 (5 1/2&#8211;6), 37 (6 1/2&#8211;7), 38 (7 1/2&#8211;8), 39 (8 1/2), 40 (9), 41 (9 1/2&#8211;10), 42 (10 1/2&#8211;11); medium width","https://lppool.catalogsites.net/lf?set=type[1],brand[NS],size[500],productid[NE552GH]&call=url[file:potpourri/hires2.chain]&sink",119.00 USD,New,Northstyle,In Stock,https://www.northstyle.com/itemdy00.aspx?T1=NE552+BK+39&srccode=NXCNC6&utm_source=google&utm_medium=comparison&utm_campaign=datafeed&source=pla,NE552770773,8888888,,,5,39,All Best Sellers|All Collections|All Footwear|All Shoes & Accessories|Best Sellers|Collections|Fourth of July Savings|Shoes & Accessories|Shoes|Special Offer|Valentine&#39;s Day|View All Items|,Ground,18.99 USD,http://base.google.com/cns/1.0,"FOOT SHOE MAP,NS04,AP16,VALENTINE,NSQA251",http://base.google.com/ns/1.0,All Best Sellers,http://base.google.com/cns/1.0,770773,http://base.google.com/ns/1.0,Black,http://base.google.com/ns/1.0,BLACK,http://base.google.com/ns/1.0,22,http://base.google.com/ns/1.0,TRUE,http://base.google.com/ns/1.0,Adult,http://base.google.com/ns/1.0,Unisex
"Spring Step&#174; Artisan Floral Embossed Leather Clogs, 3&quot; Wedge Size 39 Red","Spring Step&#174; Artisan Floral Embossed Leather Clogs, 3&quot; Wedge",https://www.northstyle.com/itemdy00.aspx?T1=NE552+RD+39&srccode=NXCNC6&utm_source=google&utm_medium=shopping&utm_campaign=datafeed&source=pla,NE552 RD 39,"Floral embossing on the leather uppers and 3  wedge heels  Cushioned footbeds; nonskid sole  Imported   
Women,s European Whole Sizes (U S  equivalents)   36 (5 1/2&#8211;6), 37 (6 1/2&#8211;7), 38 (7 1/2&#8211;8), 39 (8 1/2), 40 (9), 41 (9 1/2&#8211;10), 42 (10 1/2&#8211;11); medium width","https://lppool.catalogsites.net/lf?set=type[1],brand[NS],size[500],productid[NE552GH]&call=url[file:potpourri/hires2.chain]&sink",119.00 USD,New,Northstyle,In Stock,https://www.northstyle.com/itemdy00.aspx?T1=NE552+RD+39&srccode=NXCNC6&utm_source=google&utm_medium=comparison&utm_campaign=datafeed&source=pla,NE552770774,8888888,,,5,39,All Best Sellers|All Collections|All Footwear|All Shoes & Accessories|Best Sellers|Collections|Fourth of July Savings|Shoes & Accessories|Shoes|Special Offer|Valentine&#39;s Day|View All Items|,Ground,18.99 USD,http://base.google.com/cns/1.0,"FOOT SHOE MAP,NS04,AP16,VALENTINE,NSQA251",http://base.google.com/ns/1.0,All Best Sellers,http://base.google.com/cns/1.0,770774,http://base.google.com/ns/1.0,Red,http://base.google.com/ns/1.0,RED,http://base.google.com/ns/1.0,22,http://base.google.com/ns/1.0,TRUE,http://base.google.com/ns/1.0,Adult,http://base.google.com/ns/1.0,Unisex
Flattering Lines Boiled Wool Jacket Size 3X Red,Flattering Lines Boiled Wool Jacket,https://www.northstyle.com/itemdy00.aspx?T1=NE598+RD+3X&srccode=NXCNC6&utm_source=google&utm_medium=shopping&utm_campaign=datafeed&source=pla,NE598 RD 3X,"Eye catching waves of black add creativity and contrast, as they wrap from front to back on one side  Stand collar, double button and loop closures, and hidden snaps at the center of the contoured placket  Fully lined  100% boiled wool  Dry clean  Imported  Misses 24' long, Women's 26' long","https://lppool.catalogsites.net/lf?set=type[1],brand[NS],size[500],productid[NE598GH]&call=url[file:potpourri/hires2.chain]&sink",149.99 USD,New,Northstyle,In Stock,https://www.northstyle.com/itemdy00.aspx?T1=NE598+RD+3X&srccode=NXCNC6&utm_source=google&utm_medium=comparison&utm_campaign=datafeed&source=pla,NE598773281,8888888,,149.99 USD,4,3X,"All Best Sellers|All Collections|All Gifts|All Jackets, Vests & Coats|All Misses Sizes|All Women&#39;s Plus|Best Sellers|Christmas|Collections|Fourth of July Savings|Gifts|Holiday Collection|Jackets & Coats|Jackets & Vests|Misses Outerwear|Misses Sizes On Sale|Misses|Outerwear / Coats|Outerwear|OUTLET SALE - Save up to 60%|Sale & Clearance Selection|Sale & Clearance|Sale|Special Offer|Take An Extra 10% Off|Valentine&#39;s Day|View All Items|View All Sale|View All|Winter Fashions|Women&#39;s Outerwear|Women&#39;s Sizes On Sale|Women&#39;s|",Ground,19.99 USD,http://base.google.com/cns/1.0,"Jacket Coat Misses Plus Wool,NS04,OCCASION,Xmas,VALENTINE,AP16,NS2023WINTER,N236BOUTIQUE,NTHEME11052023,sale nssale nsclearance clearance nsoutlet outlet",http://base.google.com/ns/1.0,All Best Sellers,http://base.google.com/cns/1.0,773281,http://base.google.com/ns/1.0,Red,http://base.google.com/ns/1.0,RED,http://base.google.com/ns/1.0,88,http://base.google.com/ns/1.0,TRUE,http://base.google.com/ns/1.0,Adult,http://base.google.com/ns/1.0,Unisex
St Nick Knit Top Size Small Black,St Nick Knit Top,https://www.northstyle.com/itemdy00.aspx?T1=NE615+BK+S&srccode=NXCNC6&utm_source=google&utm_medium=shopping&utm_campaign=datafeed&source=pla,NE615 BK S,"Black and red designs capture the joy of winter  St  Nick Top has an array of buttons for the beard  100% cotton knit  Machine wash  Imported  Misses 25' long, Women's 27' long","https://lppool.catalogsites.net/lf?set=type[1],brand[NS],size[500],productid[NE615GH]&call=url[file:potpourri/hires2.chain]&sink",39.95 USD,New,Northstyle,In Stock,https://www.northstyle.com/itemdy00.aspx?T1=NE615+BK+S&srccode=NXCNC6&utm_source=google&utm_medium=comparison&utm_campaign=datafeed&source=pla,NE615773648,8888888,,,4.5,Small,"All Best Sellers|All Collections|All Gifts|All Knit Tops|All Misses Sizes|All Tops|All Women&#39;s Plus|Best Sellers|Christmas Collection|Christmas|Collections|Fourth of July Savings|Gifts|Holiday Collection|Holiday Fashion|Knit Three Quarter, Long|Misses Tops|Misses|Seasonal Style|Special Offer|Tops|View All Items|View All|Women&#39;s Tops|Women&#39;s|",Ground,11.99 USD,http://base.google.com/cns/1.0,"Top Knit Missy Plus 34sleeve,XMAS,NS04,AP16,2020HOLIDAY,NHOLIDAY10252024,NSTHEME08162024,christmas,NS227HOLTOPS,NS2023HOLIDAY",http://base.google.com/ns/1.0,All Collections,http://base.google.com/cns/1.0,773648,http://base.google.com/ns/1.0,Black,http://base.google.com/ns/1.0,BLACK,http://base.google.com/ns/1.0,46,http://base.google.com/ns/1.0,TRUE,http://base.google.com/ns/1.0,Adult,http://base.google.com/ns/1.0,Unisex
"Stretch Denim Capri, Wide Waistband, Back Pockets, Slit Hems Size 6 Black","Stretch Denim Capri, Wide Waistband, Back Pockets, Slit Hems",https://www.northstyle.com/itemdy00.aspx?T1=NF929+BK+6&srccode=NXCNC6&utm_source=google&utm_medium=shopping&utm_campaign=datafeed&source=pla,NF929 BK 6,"Wide comfort stretch waistband, and faux pockets and fly for a smooth look under tops  Back patch pockets and side slit hems  Ramie/cotton/polyester/ spandex  Machine wash  Imported  21  inseam","https://lppool.catalogsites.net/lf?set=type[1],brand[NS],size[500],productid[NF929GH]&call=url[file:potpourri/hires2.chain]&sink",49.95 USD,New,Northstyle,In Stock,https://www.northstyle.com/itemdy00.aspx?T1=NF929+BK+6&srccode=NXCNC6&utm_source=google&utm_medium=comparison&utm_campaign=datafeed&source=pla,NF929788493,8888888,,,4.5,6,All Best Sellers|All Bottoms|All Collections|All Misses Sizes|All Pants|Beautiful Blues|Best Sellers|Bottoms|Capris & Shorts|Casual Comfort|Collections|Denim Pants|For the Love of Denim|Fourth of July Savings|Misses Bottoms|Misses|National Wear Blue Day|Special Offer|View All Items|View All|,Ground,11.99 USD,http://base.google.com/cns/1.0,"N246COZY,NLOVDENIM,misses pant,Capri,NS04,denim,AP16,FV09,stayhome,N222DENIM,NS227DD,NSTHEME06102024,NSQA253,NSQA252,NSQA254,NTHEME06132025,FTHEME06132025",http://base.google.com/ns/1.0,All Pants,http://base.google.com/cns/1.0,788493,http://base.google.com/ns/1.0,Black,http://base.google.com/ns/1.0,BLACK,http://base.google.com/ns/1.0,70,http://base.google.com/ns/1.0,TRUE,http://base.google.com/ns/1.0,Adult,http://base.google.com/ns/1.0,Unisex
"Stretch Denim Capri, Wide Waistband, Back Pockets, Slit Hems Size 8 Black","Stretch Denim Capri, Wide Waistband, Back Pockets, Slit Hems",https://www.northstyle.com/itemdy00.aspx?T1=NF929+BK+8&srccode=NXCNC6&utm_source=google&utm_medium=shopping&utm_campaign=datafeed&source=pla,NF929 BK 8,"Wide comfort stretch waistband, and faux pockets and fly for a smooth look under tops  Back patch pockets and side slit hems  Ramie/cotton/polyester/ spandex  Machine wash  Imported  21  inseam","https://lppool.catalogsites.net/lf?set=type[1],brand[NS],size[500],productid[NF929GH]&call=url[file:potpourri/hires2.chain]&sink",49.95 USD,New,Northstyle,In Stock,https://www.northstyle.com/itemdy00.aspx?T1=NF929+BK+8&srccode=NXCNC6&utm_source=google&utm_medium=comparison&utm_campaign=datafeed&source=pla,NF929788494,8888888,,,4.5,8,All Best Sellers|All Bottoms|All Collections|All Misses Sizes|All Pants|Beautiful Blues|Best Sellers|Bottoms|Capris & Shorts|Casual Comfort|Collections|Denim Pants|For the Love of Denim|Fourth of July Savings|Misses Bottoms|Misses|National Wear Blue Day|Special Offer|View All Items|View All|,Ground,11.99 USD,http://base.google.com/cns/1.0,"N246COZY,NLOVDENIM,misses pant,Capri,NS04,denim,AP16,FV09,stayhome,N222DENIM,NS227DD,NSTHEME06102024,NSQA253,NSQA252,NSQA254,NTHEME06132025,FTHEME06132025",http://base.google.com/ns/1.0,All Pants,http://base.google.com/cns/1.0,788494,http://base.google.com/ns/1.0,Black,http://base.google.com/ns/1.0,BLACK,http://base.google.com/ns/1.0,70,http://base.google.com/ns/1.0,TRUE,http://base.google.com/ns/1.0,Adult,http://base.google.com/ns/1.0,Unisex
